Name,Type,TermStart,TermEnd,State,Constituency,Party,Gender,Education,EducationDetails,Age,Debates,PrivateMemberBills,Questions,Attendance,Notes,NationalDebatesAverage,NationalPrivateMemberBillsAverage,NationalQuestionsAverage,NationalAttendanceAverage,StateDebatesAverage,StatePrivateMemberBillsAverage,StateQuestionsAverage,StateAttendanceAverage
Uma Bharati,Elected,18-May-14,In office,Uttar Pradesh,Jhansi,Bharatiya Janata Party,Female,Under Matric,Information not available,55,0,0,0,0,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.)",0,0,0,0,0,0,0,0
Uma Saren,Elected,18-May-14,In office,West Bengal,Jhargram,All India Trinamool Congress,Female,Graduate,Information not available,30,0,0,0,64, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,6,70%
Upendra Kushwaha,Elected,18-May-14,In office,Bihar,Karakat,Janata Dal (United),Male,Post Graduate,"B.Sc., M.A. (Political Science) Educated at Patna Science College, Patna and B.R. Ambedkar Bihar University, Muzaffarpur (Bihar)",53,0,0,0,0,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.)",0,0,0,0,0,0,0,0
V. Elumalai,Elected,18-May-14,In office,Tamil Nadu,Arani,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,Information not available,58,8,0,4,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.6,0,8,98%
V. Pannerselvam,Elected,18-May-14,In office,Tamil Nadu,Salem,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,Information not available,55,4,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.6,0,8,98%
V. Sathyabama,Elected,18-May-14,In office,Tamil Nadu,Tiruppur,All India Anna Dravida Munnetra Kazhagam,Female,Post Graduate,Information not available,43,3,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.6,0,8,98%
Varaprasad Rao Velagapalli,Elected,18-May-14,In office,Andhra Pradesh,Tirupati,Yuvajana Sramika Rythu Congress Party,Male,Doctorate,Information not available,61,4,0,0,82, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.4,0,15,86%
Vasava Parbhubhai Nagarbhai,Elected,18-May-14,In office,Gujarat,Bardoli,Bharatiya Janata Party,Male,others,Information not available,44,0,0,0,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.5,0.1,14,90%
Veena Devi,Elected,18-May-14,In office,Bihar,Munger,Lok Jan Shakti Party,Female,Under Matric,Information not available,41,1,0,16,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.1,13,90%
Vijay Kumar Hansdak,Elected,18-May-14,In office,Jharkhand,Rajmahal,Jharkhand Mukti Morcha,Male,Under Matric,Information not available,31,3,0,29,77, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.3,25,90%
Vijay Kumar Singh,Elected,18-May-14,In office,Uttar Pradesh,Ghaziabad,Bharatiya Janata Party,Male,Doctorate,Information not available,62,0,0,0,0,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.)",0,0,0,0,0,0,0,0
Vijay Sampla,Elected,18-May-14,In office,Punjab,Hoshiarpur,Bharatiya Janata Party,Male,Under Matric,Information not available,52,3,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4,0,9,80%
Vijaysinh Shankarrao Mohite Patil,Elected,18-May-14,In office,Maharashtra,Madha,Nationalist Congress Party,Male,Under Matric,Information not available,69,0,0,55,50, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Vikram Dev Usendi,Elected,18-May-14,In office,Chhattisgarh,Kanker,Bharatiya Janata Party,Male,Under Matric,Information not available,48,2,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.6,0,8,91%
Vinayak Bhaurao Raut,Elected,18-May-14,In office,Maharashtra,Ratnagiri-Sindhudurg,Shiv Sena,Male,Post Graduate,Information not available,60,5,0,4,68, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.9,0.1,30,83%
Vincent H Pala,Elected,18-May-14,In office,Meghalaya,Shillong,Indian National Congress,Male,Graduate,"B.E. (Civil); Educated at Jalpaiguri Govt. Engineering College, North Bengal University, New Jalpaiguri, West Bengal",46,6,2,7,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.5,1,5,0
Vinod Khanna,Elected,18-May-14,In office,Punjab,Gurdaspur,Bharatiya Janata Party,Male,Graduate,Information not available,68,2,0,0,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4,0,9,80%
Vinod Kumar Boinapally,Elected,18-May-14,In office,Telangana,Karimnagar,Telangana Rashtra Samithi,Male,Graduate,Information not available,54,6,0,21,68, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.3,0,14,85%
Vinod Kumar Sonkar,Elected,18-May-14,In office,Uttar Pradesh,Kaushambi,Bharatiya Janata Party,Male,Graduate,Information not available,44,5,0,0,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Virender Kashyap,Elected,18-May-14,In office,Himachal Pradesh,Shimla,Bharatiya Janata Party,Male,Post Graduate,M.Sc. (Physics); Educated at Himachal Pradesh University,63,6,0,9,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.3,0,19,93%
Virendra Kumar,Elected,18-May-14,In office,Madhya Pradesh,Tikamgarh,Bharatiya Janata Party,Male,Doctorate,"M.A. (Economics), Ph.D (Child Labour); Educated at Dr. Harisingh University, Sagar, Madhya Pradesh",60,11,0,21,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.8,0,7,91%
Virendra Singh,Elected,18-May-14,In office,Uttar Pradesh,Bhadohi,Bharatiya Janata Party,Male,Graduate,Information not available,57,3,0,0,95, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Vishnu Dayal Ram,Elected,18-May-14,In office,Jharkhand,Palamu,Bharatiya Janata Party,Male,Graduate,Information not available,62,3,0,6,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,5.5,0.3,25,90%
Vishnu Deo Sai,Elected,18-May-14,In office,Chhattisgarh,Raigarh,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Higher Secondary; Educated at Loyola Higher Secondary School, Kunkuri, Jashpur, Chattisgarh",50,0,0,0,0,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.)",0,0,0,0,0,0,0,0
Vitthalbhai Hansrajbhai Radadiya,Elected,18-May-14,In office,Gujarat,Porbandar,Bharatiya Janata Party,Male,Graduate,B.A.,55,0,0,0,18, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.5,0.1,14,90%
Y.S. Avinash Reddy,Elected,18-May-14,In office,Andhra Pradesh,Kadapa,Yuvajana Sramika Rythu Congress Party,Male,Post Graduate,Information not available,29,1,0,0,32, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.4,0,15,86%
Y.V. Subba Reddy,Elected,18-May-14,In office,Andhra Pradesh,Ongole,Yuvajana Sramika Rythu Congress Party,Male,Post Graduate,Information not available,53,3,0,10,82, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,2.4,0,15,86%
Yashwant Singh,Elected,18-May-14,In office,Uttar Pradesh,Nagina,Bharatiya Janata Party,Male,Post Graduate,Information not available,52,3,0,0,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
Yellaiah Nandi,Elected,18-May-14,In office,Telangana,Nagarkurnool,Indian National Congress,Male,Matric,Information not available,71,1,0,9,91, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,3.3,0,14,85%
Yogi Adityanath,Elected,18-May-14,In office,Uttar Pradesh,Gorakhpur,Bharatiya Janata Party,Male,Graduate,"B.Sc.; Educated at H.N.B. Garhwal University, Srinagar (Uttarakhand) ",42,12,2,63,100, (Data corresponds to the period 4 June 2014 to 7 Aug 2014. Attendance updated till 6 Aug 2014.),4.2,0.1,14,88%,4.7,0.1,6,93%
